"LOCATION","Location","PLASTICS_EOLFATETYPES","Plastic end of life fates","TIME","Time","Value","Flag Codes","Flags"
"OAM","Other OECD America","LIT","Littered","2000","2000",0.021844,,
"OAM","Other OECD America","LIT","Littered","2001","2001",0.022556,,
"OAM","Other OECD America","LIT","Littered","2002","2002",0.023735,,
"OAM","Other OECD America","LIT","Littered","2003","2003",0.024734,,
"OAM","Other OECD America","LIT","Littered","2004","2004",0.025961,,
"OAM","Other OECD America","LIT","Littered","2005","2005",0.026805,,
"OAM","Other OECD America","LIT","Littered","2006","2006",0.028089,,
"OAM","Other OECD America","LIT","Littered","2007","2007",0.02942,,
"OAM","Other OECD America","LIT","Littered","2008","2008",0.029095,,
"OAM","Other OECD America","LIT","Littered","2009","2009",0.029671,,
"OAM","Other OECD America","LIT","Littered","2010","2010",0.0313,,
"OAM","Other OECD America","LIT","Littered","2011","2011",0.032174,,
"OAM","Other OECD America","LIT","Littered","2012","2012",0.032833,,
"OAM","Other OECD America","LIT","Littered","2013","2013",0.033879,,
"OAM","Other OECD America","LIT","Littered","2014","2014",0.034041,,
"OAM","Other OECD America","LIT","Littered","2015","2015",0.036449,,
"OAM","Other OECD America","LIT","Littered","2016","2016",0.037174,,
"OAM","Other OECD America","LIT","Littered","2017","2017",0.037769,,
"OAM","Other OECD America","LIT","Littered","2018","2018",0.039274,,
"OAM","Other OECD America","LIT","Littered","2019","2019",0.040186,,
"ODA","Other non-OECD Asia","TOTAL","Total","2000","2000",5.559237,,
"ODA","Other non-OECD Asia","TOTAL","Total","2001","2001",6.124187,,
"ODA","Other non-OECD Asia","TOTAL","Total","2002","2002",6.818249,,
"ODA","Other non-OECD Asia","TOTAL","Total","2003","2003",7.522466,,
"ODA","Other non-OECD Asia","TOTAL","Total","2004","2004",8.322068,,
"ODA","Other non-OECD Asia","TOTAL","Total","2005","2005",9.072405,,
"ODA","Other non-OECD Asia","TOTAL","Total","2006","2006",9.970658,,
"ODA","Other non-OECD Asia","TOTAL","Total","2007","2007",10.938322,,
"ODA","Other non-OECD Asia","TOTAL","Total","2008","2008",11.541578,,
"ODA","Other non-OECD Asia","TOTAL","Total","2009","2009",12.414548,,
"ODA","Other non-OECD Asia","TOTAL","Total","2010","2010",13.669616,,
"ODA","Other non-OECD Asia","TOTAL","Total","2011","2011",14.754169,,
"ODA","Other non-OECD Asia","TOTAL","Total","2012","2012",15.795122,,
"ODA","Other non-OECD Asia","TOTAL","Total","2013","2013",16.966469,,
"ODA","Other non-OECD Asia","TOTAL","Total","2014","2014",18.172365,,
"ODA","Other non-OECD Asia","TOTAL","Total","2015","2015",19.637074,,
"ODA","Other non-OECD Asia","TOTAL","Total","2016","2016",20.956341,,
"ODA","Other non-OECD Asia","TOTAL","Total","2017","2017",22.557034,,
"ODA","Other non-OECD Asia","TOTAL","Total","2018","2018",24.517797,,
"ODA","Other non-OECD Asia","TOTAL","Total","2019","2019",25.46238,,
"OPA","OECD Asia","LAN","Landfilled","2000","2000",3.011471,,
"OPA","OECD Asia","LAN","Landfilled","2001","2001",3.033074,,
"OPA","OECD Asia","LAN","Landfilled","2002","2002",3.088715,,
"OPA","OECD Asia","LAN","Landfilled","2003","2003",3.11647,,
"OPA","OECD Asia","LAN","Landfilled","2004","2004",3.150764,,
"OPA","OECD Asia","LAN","Landfilled","2005","2005",3.136741,,
"OPA","OECD Asia","LAN","Landfilled","2006","2006",3.143761,,
"OPA","OECD Asia","LAN","Landfilled","2007","2007",3.138926,,
"OPA","OECD Asia","LAN","Landfilled","2008","2008",3.002892,,
"OPA","OECD Asia","LAN","Landfilled","2009","2009",2.921184,,
"OPA","OECD Asia","LAN","Landfilled","2010","2010",2.890513,,
"OPA","OECD Asia","LAN","Landfilled","2011","2011",2.815645,,
"OPA","OECD Asia","LAN","Landfilled","2012","2012",2.688641,,
"OPA","OECD Asia","LAN","Landfilled","2013","2013",2.568249,,
"OPA","OECD Asia","LAN","Landfilled","2014","2014",2.407567,,
"OPA","OECD Asia","LAN","Landfilled","2015","2015",2.256119,,
"OPA","OECD Asia","LAN","Landfilled","2016","2016",2.056114,,
"OPA","OECD Asia","LAN","Landfilled","2017","2017",1.854827,,
"OPA","OECD Asia","LAN","Landfilled","2018","2018",1.680675,,
